Customer_ID,First_Name,Last_Name,Email,Phone_Number,Section,Block,Lot,Street_Address,City,Zip_Code,Case_Status,Expected_Savings
55,Tina,Kirby,zsmith@example.com,759-356-6507x2018,72,161,780,446 Bethany Branch,East Aaron,93804,Pending,2548.18
3,Amy,Martinez,gtrujillo@example.org,001-930-291-0360x73490,53,246,901,41546 Terri Key,Kellystad,14734,Closed,2808.66
4940,Lauren,Dean,fhoffman@example.net,(892)930-7695,72,177,686,676 Hannah Crossing,Port Kellyton,96184,Pending,3247.41
737,Christopher,Hunt,tinaellison@example.com,324.720.0747x1190,66,192,659,831 Brown Drive Apt. 676,Brianaburgh,38942,Approved,3003.65
8574539,John,Schmidt,mho@example.org,(404)579-9299x74891,60,457,862,9001 Brown Oval,West Joshua,25630,Opened,3404.93
7,Tiffany,Gonzalez,hbaker@example.org,+1-324-928-4362x9259,28,492,786,75998 Tony Summit Suite 481,Laraberg,93231,Closed,2186.69
4,Heidi,Martinez,jgross@example.com,3325406579,77,104,745,164 Ramos Mills,New Lindseymouth,07928,Opened,3028.52
9083890,Jeremy,Jones,cunderwood@example.org,(394)260-4279,82,251,997,2843 Jessica Viaduct,West Melissaland,33375,Approved,2335.87
77348655,Ryan,Martinez,dunnjorge@example.org,+1-758-528-7557x29293,47,439,703,98176 Cole Flat,Waltonbury,99721,Pending,3265.84
3017,Shane,Nolan,tmendoza@example.net,+1-738-466-6218,24,396,524,279 Dustin Camp Suite 031,Wallaceburgh,16883,Opened,3208.52
10884,Brandon,Todd,tonygray@example.net,954-375-6309x010,93,433,894,0281 Bryant Landing,North Michaelland,51888,Opened,2900.42
26098,Jon,Moore,brian56@example.net,995-857-4659x9474,69,217,726,17479 Hurst Highway,Julieberg,84141,Approved,2290.58
42636,John,Cunningham,jonesjamie@example.com,(527)623-7708x08693,33,285,569,420 Bell Pines Apt. 834,South Timothy,23881,Pending,3003.52
618101,Aaron,Griffith,bushstephen@example.com,422.779.1245,89,404,738,713 Timothy Haven Apt. 352,Elizabethport,06438,Closed,2867.83
8,Tara,Wilson,mortonchristopher@example.net,001-378-670-0981x3220,85,222,784,205 Yang Ranch,Andersonview,97533,Pending,3115.41
6374314,Nicholas,Mitchell,hhooper@example.org,710-316-9060x115,17,358,623,548 Ryan Crossing Suite 893,Cooperstad,13432,Approved,3328.35
2,Breanna,Baker,amber58@example.com,609-864-1207x914,100,195,704,69751 Jones Place Suite 426,Duanefurt,83325,Approved,3780.97
4049,Frederick,Sims,adam27@example.com,(438)838-3181,36,401,566,60786 Suzanne Well Suite 688,East Jacqueline,73096,Pending,2812.09
5,Christina,Coffey,bduncan@example.com,(616)427-5125,57,430,617,10494 Jessica Isle,Danielleland,60738,Closed,2562.21
23,Shane,Walsh,elizabeththompson@example.com,+1-696-753-1018x0821,47,344,957,18105 White Mission Suite 925,Christopherberg,33288,Pending,3164.64
867,Megan,Richard,scott54@example.net,(503)422-2518,27,401,544,560 Nicole Land,Robertton,69283,Closed,2576.65
